Profit and Loss,
"Aim Trucking Services, Inc.",
"January 1-March 31, 2025",

Distribution account,Total
Income,
Chassis Fees,"50,700.00"
Drop Charge,150.00
Dry Run,900.00
FSC,"32,972.50"
FUMIGATION SURCHARGE FR/OT,300.00
HAZMAT INCOME,"1,175.00"
LINEHAUL,"466,478.00"
Overweight Fee,"8,830.00"
Portpro_TMS,"127,445.64"
PREPULL,"3,150.00"
REEFER SURCHARGE,"2,050.00"
RGN LINEHAUL,"5,350.00"
SCALE LOAD,30.00
SSL DETENTION,"2,025.00"
STEP DECK HAUL,"5,200.00"
STEP DECK RENTAL,"1,300.00"
STOP OFF,450.00
Transload,"116,195.00"
TRI AXLE,800.00
WAREHOUSE STORAGE INCOME,"1,125.00"
YARD STORAGE 1,"1,305.00"
Total for Income,"$827,931.14"
Cost of Goods Sold,
Gross Profit,"$827,931.14"
Expenses,
Accessorial Charges,-100.00
ACCOUNTING SERVICES EXPENSE,"4,911.93"
Bank Service Charges,264.00
Base Price,"312,425.00"
Business Licenses and Permits,"2,189.46"
Chassis Rental,"29,184.91"
Computer and Internet Expenses,"10,953.86"
DISCOUNT EXPENSE,-75.00
Drayage,"78,296.00"
DRAYAGE -CA EXPENSE,"93,395.00"
Drug Screening,40.00
Dues and Subscriptions,399.00
Equipment Rental Expense,"2,965.25"
FINES - DRIVERS,145.00
Fuel,"3,256.69"
Health Insurance,
HRA Employee Benefit,"3,957.37"
Total for Health Insurance,"$3,957.37"
Insurance - Commercial,"71,006.32"
Driver Insurance Deduction,"-32,210.22"
Total for Insurance - Commercial,"$38,796.10"
Long Haul Drayage Expense,"7,380.00"
Office Supplies,113.32
Oversized Permit,"1,105.00"
Payroll Expenses,"39,748.10"
Reimbursed Expenses,270.10
Rent Expense,"30,000.00"
Repairs and Maintenance,"15,735.13"
Small Tools and Equipment,108.98
TAXES - SC,25.00
Telephone Expense,64.96
Transloading,"115,080.00"
Utilities,"2,247.57"
WAREHOUSE STORAGE,"5,215.00"
Total for Expenses,"$798,097.73"
Net Operating Income,"$29,833.41"
Other Income,
Other Expenses,
Net Other Income,
Net Income,"$29,833.41"



"Accrual Basis Tuesday, October 28, 2025 03:47 PM GMTZ",
