"Aim Trucking Services, Inc.",
Profit and Loss,
"October 1-December 31, 2025",

,Total
Income,
AIM YARD STORAGE 1,"6,610.00"
Chassis Fees,"58,573.00"
Demurrage,"1,200.00"
FSC,"30,931.25"
HAZMAT INCOME,"2,700.00"
LINEHAUL,"214,802.00"
OTR LINEHAUL,"258,365.20"
Overweight Fee,"19,900.00"
Portpro_TMS,"7,865.00"
REEFER SURCHARGE,"4,350.00"
RGN LINEHAUL,"22,720.00"
Transload,"147,705.00"
TRI AXLE,"3,650.00"
YARD STORAGE 1,840.00
Total for Income,"$780,211.45"
Gross Profit,"$780,211.45"
Expenses,
ACCOUNTING SERVICES EXPENSE,"4,924.37"
Bank Service Charges,206.00
Base Price,"397,551.00"
Chassis Rental,"29,482.32"
Repairs - Chassis,351.38
Total for Chassis Rental,"$29,833.70"
Computer and Internet Expenses,"1,666.38"
Drayage,"114,150.00"
DRAYAGE -CA EXPENSE,"5,165.12"
Drug Screening,40.00
Dues and Subscriptions,284.20
EMPLOYEE APPRECIATION,451.06
FINES - DRIVERS,268.00
Fuel,"-5,213.06"
Health Insurance,
HRA Employee Benefit,"4,884.00"
Total for Health Insurance,"$4,884.00"
Insurance - Commercial,"40,589.49"
Driver Insurance Deduction,"-40,582.76"
Total for Insurance - Commercial,$6.73
INSURANCE REIMBURSEMENT EXPENSE,967.07
Meals and Entertainment,"1,772.83"
NCB INSPECTION EXPENSE,475.00
Office Supplies,88.72
Oversized Permit,"1,883.00"
Payroll Expenses,"54,598.22"
Professional Fees,"1,679.44"
Reimbursed Expenses,59.00
Rent Expense,"11,550.00"
Repairs and Maintenance,50.00
TIRES,816.00
Total for Repairs and Maintenance,$866.00
STREET TURN,38.00
Transloading,"133,665.00"
Utilities,"2,613.00"
WAREHOUSE STORAGE,"13,305.00"
Total for Expenses,"$777,777.78"
Net Operating Income,"$2,433.67"
Net Income,"$2,433.67"



"Accrual Basis Friday, July 10, 2026 04:37 PM GMTZ",
